thickness,mass_density,Vs,soil_type,pdmy_args,hyst_args,clay_args
1.5,1850,274.18,sand,"1850.0, 139073143.9, 301325145.2, 36.0, 0.1, 101325.0, 0.5, 33.0",,
1.5,1700,181.56,sand,"1700.0, 56038857.1, 121417523.8, 28.0, 0.1, 101325.0, 0.5, 25.0",,
1.5,1700,195.16,sand,"1700.0, 64748623.5, 140288684.3, 28.0, 0.1, 101325.0, 0.5, 25.0",,
3.0,1700,160.3,silt,,"43683353.0, 436833.5, 0.2, 0.2",
1.5,1700,165.78,silt,,"46721114.3, 467211.1, 0.2, 0.2",
1.5,1700,170.9,silt,,"49651577.0, 496515.8, 0.2, 0.2",
1.5,1550,132.87,silt,,"27364377.2, 273643.8, 0.2, 0.2",
1.5,1550,147.94,silt,,"33923677.6, 339236.8, 0.2, 0.2",
1.5,1550,140.83,silt,,"30741287.8, 307412.9, 0.2, 0.2",
2.0,1700,160.3,silt,,"43683353.0, 436833.5, 0.2, 0.2",
